SNO,"PO NUMBER","PRODUCT NAME","CATEGORY NAME",SIZE,SKU,BARCODE,QTY,PRICE,"EXTENDED PRICE"
1,ORD506266,"GENTLEMAN JACK RARE TENNESSEE WHISKEY",Whiskey,1.75lt,10748,bar10748,100,$40.50,$4050.00
,,,,,,,100,,$4050.00
